Year,Sheriffdom,Court,Postcode,X_Easting,Y_Northing,Latitude,Longitude,fp_ValImp,fp_ValPaid,fp_ValDis,cr_ValReg,cr_ValDis,cr_TotValtbp,cr_ValPaidtd,cr_Valpot,cr_ValArrears,cr_ValFinesptd_percent,fp_NumImp,fp_NumFullyPaid,fp_NumDischa,cr_NumReg,cr_NumDischa,cr_Numtbp,cr_NumFullyPaid,cr_Numpot,cr_NumArrears,cr_NumNoPayRec,cr_NumFullyPaid_percent
y19_20,"South Strathclyde, Dumfries & Galloway",Hamilton,ML3 0BT,271466,656064,55.780756,-4.050985,38 ,13 ,25 ,35 ,1 ,33 ,8 ,4 ,21 ,0.46 ,958,335,623,578,23,555,124,71,13,347,0.52 
y19_20,"South Strathclyde, Dumfries & Galloway",Lanark,ML11 7NE,288066,643877,55.675438,-3.7814678,4 ,1 ,2 ,3 ,0 ,3 ,1 ,1 ,1 ,0.64 ,89,37,52,47,1,46,17,10,4,15,0.65 
y19_20,"South Strathclyde, Dumfries & Galloway",Stranraer,DG9 7AA,205995,560668,54.902952,-5.0274369,2 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0.73 ,39,24,15,15,1,14,6,1,0,7,0.79 
y19_20,Lothian & Borders,Edinburgh,EH1 1LB,325734,673405,55.947919,-3.1907488,8 ,4 ,4 ,5 ,0 ,5 ,3 ,0 ,2 ,0.77 ,207,111,96,82,6,76,38,8,3,27,0.80 
y19_20,Lothian & Borders,Jedburgh,TD8 6AR,364951,620495,55.477009,-2.556049,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.88 ,13,10,3,2,0,2,1,0,0,1,0.92 
y19_20,Lothian & Borders,Livingston,EH54 6FF,305269,667017,55.886943,-3.5160844,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.77 ,17,12,5,6,1,5,2,0,0,3,0.82 
y19_20,Lothian & Borders,Selkirk,TD7 4LE,346958,628626,55.548437,-2.8422386,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.76 ,17,13,4,4,0,4,1,0,0,3,0.82 
y19_20,Tayside Central & Fife,Alloa,FK10 1JA,288638,692953,56.116295,-3.792592,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.83 ,26,16,10,9,1,8,4,2,0,2,0.83 
y19_20,Tayside Central & Fife,Dundee,DD1 9AD,339008,730386,56.461653,-2.9913622,4 ,2 ,2 ,2 ,0 ,2 ,1 ,0 ,1 ,0.82 ,108,47,61,41,6,35,22,1,1,11,0.84 
y19_20,Tayside Central & Fife,Dunfermline,KY12 7HJ,309471,687660,56.073163,-3.4558807,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.81 ,26,17,9,7,0,7,3,0,1,3,0.83 
y19_20,Tayside Central & Fife,Falkirk,FK1 4AR,286891,680442,56.003535,-3.8153841,1 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.86 ,33,14,19,14,2,12,9,1,0,2,0.88 
y19_20,Tayside Central & Fife,Forfar,DD8 3LA,345737,751265,56.650029,-2.8865572,2 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.92 ,39,16,23,14,1,13,11,0,0,2,0.93 
y19_20,Tayside Central & Fife,Kirkcaldy,KY1 1XQ,327747,691349,56.109414,-3.1633624,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.70 ,23,11,12,6,0,6,2,0,0,4,0.76 
y19_20,Tayside Central & Fife,Perth,PH2 8NL,312063,723391,56.394568,-3.426134,4 ,2 ,2 ,2 ,0 ,2 ,1 ,0 ,0 ,0.92 ,89,49,40,28,3,25,20,1,1,3,0.93 
y19_20,Tayside Central & Fife,Stirling,FK8 1NH,279597,693782,56.121544,-3.9382803,2 ,1 ,1 ,2 ,0 ,2 ,1 ,0 ,0 ,0.93 ,61,30,31,28,2,26,23,0,0,3,0.95 
y20_21,Glasgow & Strathkelvin,Glasgow,G5 9DA,259022,664496,55.852989,-4.2536079,112 ,27 ,86 ,134 ,1 ,133 ,17 ,10 ,106 ,0.27 ,2721,730,1991,2061,18,2043,243,132,42,1626,0.35 
y20_21,Grampian Highland & Islands,Aberdeen,AB10 1WP,394371,806359,57.14808,-2.0946643,8 ,3 ,5 ,8 ,1 ,7 ,2 ,0 ,5 ,0.52 ,215,84,131,122,12,110,29,3,3,75,0.58 
y20_21,Grampian Highland & Islands,Banff,AB45 1AU,368963,863907,57.663972,-2.5218647,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.54 ,10,5,5,4,0,4,1,0,0,3,0.67 
y20_21,Grampian Highland & Islands,Elgin,IV30 1BU,321739,862853,57.648763,-3.3128578,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0.51 ,15,4,11,12,0,12,5,2,0,5,0.56 
y20_21,Grampian Highland & Islands,Fort William,PH33 6EE,209971,773649,56.815398,-5.1148998,2 ,1 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0.56 ,48,31,17,17,0,17,4,5,0,8,0.73 
y20_21,Grampian Highland & Islands,Inverness,IV1 1AH,266984,846201,57.48646,-4.2204915,5 ,1 ,4 ,6 ,0 ,6 ,1 ,2 ,3 ,0.18 ,96,15,81,73,0,73,8,28,0,37,0.26 
y20_21,Grampian Highland & Islands,Kirkwall,KW15 1PD,344941,1010757,58.980401,-2.9595262,1 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0.58 ,18,6,12,12,0,12,6,0,0,6,0.67 
y20_21,Grampian Highland & Islands,Lerwick,ZE1 0HD,447450,1141486,60.155106,-1.1471182,1 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,1 ,0.29 ,22,4,18,16,0,16,2,8,1,5,0.30 
y20_21,Grampian Highland & Islands,Lochmaddy,HS6 5AE,91715,868925,57.604613,-7.1632564,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,1,1,0,0,0,0,0,0,0,0,1.00 
y20_21,Grampian Highland & Islands,Peterhead,AB42 1TP,413246,846284,57.506562,-1.7805994,2 ,1 ,1 ,2 ,0 ,2 ,0 ,0 ,2 ,0.39 ,54,12,42,35,0,35,8,0,0,27,0.43 
y20_21,Grampian Highland & Islands,Portree,IV51 9EH,148181,843655,57.413284,-6.1949906,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,6,5,1,0,0,0,0,0,0,0,1.00 
y20_21,Grampian Highland & Islands,Stornoway,HS1 2JF,142571,932972,58.210091,-6.3842995,1 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,0.38 ,13,4,9,9,0,9,2,5,0,2,0.46 
y20_21,Grampian Highland & Islands,Tain,IV19 1AB,277995,882103,57.811835,-4.0551007,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,3,1,2,2,0,2,2,0,0,0,1.00 
